PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43630,Yes,7,141,Apartment,3,2024-09-25 00:00:00
43622,Yes,4,70,Apartment,2,2024-08-12 00:00:00
43620,Yes,2,55,Apartment,1,2024-08-04 00:00:00
43616,No,4,60,Apartment,2,2024-07-05 00:00:00
43606,Yes,4,60,Apartment,2,2024-06-27 00:00:00
43590,Yes,7,105,Apartment,4,2024-09-19 00:00:00
43589,Yes,4,66,Apa,3,2024-07-27 00:00:00
43588,Yes,4,66,Apa,3,2024-07-09 00:00:00
43583,Yes,7,141,Apartment,3,2024-05-18 00:00:00
43578,Yes,10,92,Apa,4,2024-05-25 00:00:00
43574,Yes,2,51,Apartment,1,2024-06-26 00:00:00
43573,Yes,4,53,Apartment,2,2024-06-16 00:00:00
43552,Yes,2,28,Apa,1,2024-03-26 00:00:00
43518,Yes,4,40,Apartment,1,2024-05-24 00:00:00
43517,Yes,4,64,Apartment,1,2024-05-24 00:00:00
43516,Yes,4,70,Apa,2,2024-03-20 00:00:00
43532,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43531,Yes,7,70,Apartment,3,2024-03-20 00:00:00
43530,Yes,4,70,Apa,2,2024-03-20 00:00:00
43529,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43537,Yes,4,70,Apa,2,2024-03-25 00:00:00
43527,Yes,7,70,Apartment,3,2024-03-25 00:00:00
43525,Yes,4,70,Apa,2,2024-04-05 00:00:00
43526,Yes,4,70,Apa,2,2024-03-25 00:00:00
43524,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43522,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43521,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43520,Yes,2,70,Apa,1,2024-04-03 00:00:00
43519,Yes,7,70,Apartment,3,2024-05-31 00:00:00
43515,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43533,Yes,3,70,Apartment,1,2024-05-21 00:00:00
43534,Yes,6,70,Apartment,3,2024-03-25 00:00:00
43528,Yes,2,70,Apartment,1,2024-03-26 00:00:00
43548,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43547,Yes,4,70,Apartment,2,2024-04-06 00:00:00
43546,Yes,6,70,,3,2024-03-25 00:00:00
43545,Yes,3,70,Apartment,1,2024-03-25 00:00:00
43544,Yes,4,70,Apa,2,2024-03-25 00:00:00
43543,Yes,4,70,Apartment,2,2024-03-25 00:00:00
43542,Yes,6,70,Apartment,3,2024-03-25 00:00:00
43535,Yes,4,70,Apartment,2,2024-03-25 00:00:00
43536,Yes,3,70,Apartment,1,2024-03-20 00:00:00
43538,Yes,6,70,Apartment,3,2024-03-20 00:00:00
43539,Yes,4,70,Apartment,2,2024-03-20 00:00:00
43540,Yes,4,70,Apartment,2,2024-03-26 00:00:00
43541,Yes,3,70,Apa,1,2024-09-07 00:00:00
43505,Yes,3,25,Apartment,0,2024-03-15 00:00:00
43502,Yes,4,51,Apa,2,2024-05-17 00:00:00
43499,Yes,8,95,Apartment,4,2024-03-26 00:00:00
43498,Yes,6,99,Apartment,3,2024-03-26 00:00:00
43496,Yes,5,68,Apartment,4,2024-04-17 00:00:00
43495,Yes,6,67,Apartment,4,2024-06-07 00:00:00
43493,Yes,4,50,Apa,2,2024-02-23 00:00:00
43492,Yes,5,67,Apa,4,2024-05-29 00:00:00
43491,Yes,5,68,Apartment,3,2024-05-29 00:00:00
43487,Yes,5,102,,3,2024-01-24 00:00:00
43621,Yes,5,64,Apartment,4,2024-09-20 00:00:00
43485,Yes,5,64,Apartment,4,2024-01-24 00:00:00
43486,Yes,5,68,Apartment,3,2024-02-24 00:00:00
43481,Yes,3,45,,1,2024-01-08 00:00:00
43480,No,3,57,House,2,2024-12-13 00:00:00
43472,Yes,4,44,,1,2024-02-23 00:00:00
43470,Yes,4,44,Apa,1,2024-02-23 00:00:00
43471,Yes,2,31,Apartment,0,2024-02-23 00:00:00
43468,Yes,6,84,,2,2024-02-23 00:00:00
43473,Yes,2,31,Apartment,0,2024-02-23 00:00:00
43474,Yes,4,44,Apartment,1,2024-02-23 00:00:00
43477,No,2,0,Apartment,0,2024-02-29 00:00:00
