Nombre,Dirección,Precio,Puntuación,Habitaciones
SERHS Carlit Boutique Hotel,"Eixample, Barcelona",S/ 340,8.6,1
Sonder Paseo de Gracia,"Eixample, Barcelona",S/ 1.278,8.6,1
Hotel Lloret Ramblas,"Ciutat Vella, Barcelona",S/ 267,8.6,1
Sonder Casa Luz,"Eixample, Barcelona",S/ 1.405,8.6,1
Catalonia Sagrada Familia,"Sant Martí, Barcelona",S/ 308,8.6,1
Hostalin Barcelona Passeig de Gracia,"Eixample, Barcelona",S/ 333,8.6,1
Flor Parks,"Ciutat Vella, Barcelona",S/ 258,8.6,1
"Holiday Inn Express Barcelona City 22@, an IHG Hotel","Sant Martí, Barcelona",S/ 352,8.6,1
Ciutat Vella,"Ciutat Vella, Barcelona",S/ 333,8.6,1
Wilson Boutique Hotel,"Sarrià-Sant Gervasi, Barcelona",S/ 312,8.6,1
Hotel Brick Barcelona,"Sants-Montjuïc, Barcelona",S/ 315,8.6,1
Acta BCN 40,"Ciutat Vella, Barcelona",S/ 307,8.6,1
Pol & Grace Hotel,"Sarrià-Sant Gervasi, Barcelona",S/ 247,8.6,1
Barcelona House,"Ciutat Vella, Barcelona",S/ 329,8.6,1
NH Barcelona Eixample,"Eixample, Barcelona",S/ 325,8.6,1
Hotel Condal,"Ciutat Vella, Barcelona",S/ 304,8.6,1
BCN Urbaness Hotels Del Comte,"Eixample, Barcelona",S/ 263,8.6,1
Catalonia Gracia,"Eixample, Barcelona",S/ 391,8.6,1
Mihlton Barcelona Boutique B&B,"Eixample, Barcelona",S/ 341,8.6,1
Catalonia Albeniz,"Sant Martí, Barcelona",S/ 308,8.6,1
Hotel Market,"Eixample, Barcelona",S/ 267,8.6,1
Sercotel Amister Art Hotel Barcelona,"Eixample, Barcelona",S/ 315,8.6,1
Hostal Portugal,"Ciutat Vella, Barcelona",S/ 267,8.6,1
Acta Splendid,"Eixample, Barcelona",S/ 374,8.6,1
Onix Fira,"Eixample, Barcelona",S/ 259,8.6,1
Onix Liceo,"Ciutat Vella, Barcelona",S/ 300,8.6,1
Acevi Villarroel,"Eixample, Barcelona",S/ 366,8.6,1
"Holiday Inn Express Barcelona City 22@, an IHG Hotel","Sant Martí, Barcelona",S/ 352,8.2,2
Sonder Paseo de Gracia,"Eixample, Barcelona",S/ 1.278,8.2,2
Hotel Lloret Ramblas,"Ciutat Vella, Barcelona",S/ 267,8.2,2
Sonder Casa Luz,"Eixample, Barcelona",S/ 1.405,8.2,2
Hotel Condal,"Ciutat Vella, Barcelona",S/ 304,8.2,2
Flor Parks,"Ciutat Vella, Barcelona",S/ 258,8.2,2
BCN Urbaness Hotels Del Comte,"Eixample, Barcelona",S/ 263,8.2,2
Hotel Nouvel,"Ciutat Vella, Barcelona",S/ 329,8.2,2
Barcelona House,"Ciutat Vella, Barcelona",S/ 329,8.2,2
Pol & Grace Hotel,"Sarrià-Sant Gervasi, Barcelona",S/ 298,8.2,2
Silken Ramblas,"Ciutat Vella, Barcelona",S/ 481,8.2,2
Hotel Barcelona Universal,"Ciutat Vella, Barcelona",S/ 352,8.2,2
Ronda House,"Ciutat Vella, Barcelona",S/ 329,8.2,2
Hotel SERHS Rivoli Rambla,"Ciutat Vella, Barcelona",S/ 510,8.2,2
"Hotel Indigo Barcelona - Plaza Catalunya 4Sup, an IHG Hotel","Eixample, Barcelona",S/ 518,8.2,2
Barcelona Princess,"Sant Martí, Barcelona",S/ 419,8.2,2
Chic & Basic Born Boutique Hotel,"Ciutat Vella, Barcelona",S/ 387,8.2,2
May Ramblas Hotel,"Ciutat Vella, Barcelona",S/ 391,8.2,2
Barcelona Century Hotel,"Eixample, Barcelona",S/ 542,8.2,2
Arc La Rambla,"Ciutat Vella, Barcelona",S/ 389,8.2,2
Hotel Viladomat,"Eixample, Barcelona",S/ 329,8.2,2
SM Hotel Sant Antoni,"Eixample, Barcelona",S/ 312,8.2,2
Hilton Barcelona,"Les Corts, Barcelona",S/ 583,8.2,2
Praktik Bakery,"Eixample, Barcelona",S/ 370,8.2,2
BCN Urbaness Hotels Bonavista,"Gracia, Barcelona",S/ 262,8.2,2
Hotel BESTPRICE Gracia,"Gracia, Barcelona",S/ 284,8.2,2
Hotel Condado,"Sarrià-Sant Gervasi, Barcelona",S/ 411,8.2,2
